Vktgs,wind_speed,gravi_fts,elev_stick,elron_stick,rudder_stick,elev_surf,ailrn_surf,ruddr_surf,"nwhel,steer",trim,flap,pitch,roll,hding,"   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __alt,ftmsl ","   ___on,runwy ","   _dist,___ft ","   thro1,_part ","   power,_1,hp "
106.9912377,27.50556482,32.1396,-0.013836015,-0.02947,0.00191,0.054022281,-0.01877,0.00611017,0.01908,-0.23616,0,-4.915963151,1.723955648,263.463677,-1.708659337,-0.007020273,256.1703208,-3.898990645,0.106491667,2273.092921,0,104298.8493,0.68235,88.03352242
106.9922261,27.50303355,32.13960568,-0.01357969,-0.02947,0.00191,0.054108716,-0.01877,0.006147044,0.01908,-0.23616,0,-4.917051515,1.612420833,263.493758,-1.708301105,-0.005839384,256.202729,-3.900752673,0.109690717,2271.886559,0,104316.5431,0.68235,88.03637378
106.9935293,27.50024351,32.13961,-0.013309285,-0.02947,0.00191,0.05439445,-0.01877,0.006185057,0.01908,-0.23616,0,-4.91799464,1.50042787,263.5225395,-1.708160416,-0.004564455,256.2335706,-3.902070828,0.112875278,2270.673817,0,104334.3233,0.68235,88.03834679
106.9951802,27.49747763,32.13961682,-0.010559137,-0.02947,0.00191,0.056963485,-0.018763178,0.006227289,0.01908,-0.23616,0,-4.916613136,1.386717304,263.5501544,-1.705497648,-0.003264512,256.2628477,-3.903616043,0.116088996,2269.442222,0,104352.3825,0.685024307,88.64648368
106.997439,27.49471782,32.13962,-0.009963073,-0.02947,0.00191,0.056822866,-0.01876,0.006261099,0.01908,-0.23616,0,-4.909671038,1.276771474,263.5755552,-1.699289271,-0.001916491,256.2894074,-3.902708582,0.119178775,2268.251449,0,104369.8287,0.68627,88.93356458
107.0004693,27.49194218,32.13962,-0.010622199,-0.02947,0.00191,0.055769752,-0.01876,0.006299512,0.01908,-0.23616,0,-4.90047873,1.165917312,263.5997656,-1.694139733,-0.000454931,256.3144737,-3.897784296,0.122266054,2267.050474,0,104387.436,0.683377783,88.28437448
107.0038826,27.48877732,32.13962923,-0.013917751,-0.02947,0.00191,0.052912022,-0.01876,0.006337679,0.01908,-0.23616,0,-4.895556607,1.052779409,263.6229819,-1.695653393,0.001193244,256.3383071,-3.889966046,0.125439638,2265.825597,0,104405.4371,0.68235,88.05483992
107.0074996,27.48634868,32.13963,-0.010905969,-0.02947,0.00191,0.056224794,-0.01876,0.006378632,0.01908,-0.23616,0,-4.893002786,0.936042741,263.6449624,-1.697482871,0.002497581,256.3607087,-3.88464002,0.128769162,2264.564645,0,104423.9998,0.68235,88.06060124
107.0112671,27.48313781,32.13963132,-0.01004164,-0.02947,0.00191,0.056897879,-0.01876,0.006425269,0.01908,-0.23616,0,-4.888068401,0.822508623,263.6646879,-1.696716555,0.004010169,256.3804021,-3.879542994,0.132029671,2263.338328,0,104442.0873,0.68235,88.06296195
107.0152796,27.48059741,32.13964,-0.013236033,-0.02947,0.00191,0.053979994,-0.018758219,0.006467123,0.01908,-0.23616,0,-4.886096583,0.709126904,263.6826887,-1.699891501,0.005208351,256.3982275,-3.87329755,0.135271357,2262.114611,0,104460.1587,0.68235,88.06569136
107.0193404,27.47770205,32.13964,-0.01211,-0.02947,0.00191,0.055142192,-0.01875,0.006510082,0.01908,-0.23616,0,-4.883840903,0.595795339,263.6990056,-1.700891945,0.006474987,256.4140316,-3.869340163,0.13850096,2260.892518,0,104478.2248,0.68235,88.06900162
107.0237047,27.47484237,32.13964347,-0.01211,-0.02947,0.00191,0.055078564,-0.01875,0.006550407,0.01908,-0.23616,0,-4.880590122,0.482463075,263.7136979,-1.700981387,0.007751171,256.4278276,-3.865275506,0.141714136,2259.671266,0,104496.2932,0.68235,88.07254433
107.0283325,27.47218874,32.13965,-0.011611258,-0.02947,0.00191,0.055619623,-0.01875,0.006585113,0.01908,-0.23616,0,-4.877410652,0.369744878,263.7266969,-1.701110604,0.008895845,256.4396266,-3.861236899,0.144885292,2258.457619,0,104514.2634,0.68235,88.07610444
107.0333162,27.46934592,32.13965,-0.01079,-0.02947,0.00191,0.056149031,-0.018745781,0.006626878,0.01908,-0.23616,0,-4.871810021,0.257436616,263.7381656,-1.698943217,0.010170081,256.4495347,-3.857045034,0.148021891,2257.249618,0,104532.1672,0.68235,88.08107024
107.039005,27.46634456,32.13965562,-0.01115524,-0.02947,0.00191,0.055573427,-0.01874,0.006666857,0.01908,-0.23616,0,-4.86446341,0.144062057,263.7481601,-1.696650284,0.011550575,256.4575481,-3.85088817,0.151167723,2256.03259,0,104550.2303,0.684552679,88.58663488
